IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
175.29.22.57,31025,true,LHR,欧洲,英国伦敦,48 ms,7304 kB/s
175.29.22.89,31038,true,KIX,亚太,大阪,46 ms,7297 kB/s
175.29.22.82,21038,true,NRT,亚太,日本东京,49 ms,7296 kB/s
175.29.22.77,31025,true,LHR,欧洲,英国伦敦,47 ms,7091 kB/s
175.29.22.29,31021,true,ATL,北美洲,亚特兰大,48 ms,6980 kB/s
175.29.22.92,31021,true,ATL,北美洲,亚特兰大,49 ms,6970 kB/s
175.29.22.63,31024,true,BUF,北美洲,美国布法罗,47 ms,6960 kB/s
175.29.22.72,31026,true,BOM,亚太,印度孟买,47 ms,6951 kB/s
175.29.22.63,21023,true,BUF,北美洲,美国布法罗,48 ms,6865 kB/s
175.29.22.67,21026,true,BOM,亚太,印度孟买,50 ms,6813 kB/s
175.29.22.65,21025,true,LHR,欧洲,英国伦敦,47 ms,6786 kB/s
175.29.22.47,21038,true,NRT,亚太,日本东京,48 ms,6642 kB/s
175.29.22.108,21021,true,ATL,北美洲,亚特兰大,49 ms,6590 kB/s
175.29.22.88,31038,true,KIX,亚太,大阪,47 ms,6550 kB/s
175.29.22.63,21024,true,YYZ,北美洲,加拿大多伦多,49 ms,6530 kB/s
175.29.22.92,21038,true,KIX,亚太,大阪,48 ms,6340 kB/s
175.29.22.86,21026,true,BOM,亚太,印度孟买,48 ms,6306 kB/s
175.29.22.17,31023,true,YYZ,北美洲,加拿大多伦多,48 ms,6281 kB/s
175.29.22.76,31021,true,ATL,北美洲,亚特兰大,48 ms,6219 kB/s
175.29.22.73,21025,true,LHR,欧洲,英国伦敦,47 ms,6122 kB/s
175.29.22.133,31038,true,NRT,亚太,日本东京,45 ms,6104 kB/s
175.29.22.82,31025,true,LHR,欧洲,英国伦敦,48 ms,6090 kB/s
175.29.22.60,31021,true,ATL,北美洲,亚特兰大,47 ms,5940 kB/s
175.29.22.158,31038,true,KIX,亚太,大阪,49 ms,5748 kB/s
175.29.22.55,31025,true,LHR,欧洲,英国伦敦,48 ms,5701 kB/s
175.29.22.124,31025,true,LHR,欧洲,英国伦敦,59 ms,5685 kB/s
175.29.22.80,31038,true,KIX,亚太,大阪,49 ms,5632 kB/s
175.29.22.63,21025,true,LHR,欧洲,英国伦敦,47 ms,5486 kB/s
175.29.22.34,21021,true,ATL,北美洲,亚特兰大,47 ms,5409 kB/s
175.29.22.80,21038,true,NRT,亚太,日本东京,48 ms,5228 kB/s
175.29.22.34,21025,true,LHR,欧洲,英国伦敦,45 ms,5139 kB/s
175.29.23.123,21021,true,ATL,北美洲,亚特兰大,48 ms,5094 kB/s
175.29.22.127,31026,true,BOM,亚太,印度孟买,57 ms,4906 kB/s
175.29.22.35,31026,true,BOM,亚太,印度孟买,48 ms,4804 kB/s
175.29.22.67,31021,true,ATL,北美洲,亚特兰大,46 ms,4763 kB/s
175.29.22.77,31021,true,ATL,北美洲,亚特兰大,49 ms,4687 kB/s
175.29.22.73,31021,true,ATL,北美洲,亚特兰大,46 ms,4663 kB/s
175.29.22.67,31025,true,LHR,欧洲,英国伦敦,47 ms,4611 kB/s
175.29.22.49,31021,true,ATL,北美洲,亚特兰大,47 ms,4560 kB/s
175.29.23.123,31021,true,ATL,北美洲,亚特兰大,46 ms,4439 kB/s
175.29.22.89,31021,true,ATL,北美洲,亚特兰大,48 ms,4434 kB/s
175.29.22.104,31021,true,ATL,北美洲,亚特兰大,46 ms,4403 kB/s
175.29.22.60,21021,true,ATL,北美洲,亚特兰大,58 ms,4314 kB/s
175.29.22.65,31021,true,ATL,北美洲,亚特兰大,48 ms,4275 kB/s
175.29.22.58,31038,true,NRT,亚太,日本东京,46 ms,4249 kB/s
175.29.22.80,21021,true,ATL,北美洲,亚特兰大,46 ms,4241 kB/s
175.29.22.34,31021,true,ATL,北美洲,亚特兰大,47 ms,4237 kB/s
175.29.22.134,31021,true,ATL,北美洲,亚特兰大,46 ms,4222 kB/s
175.29.22.57,21023,true,YYZ,北美洲,加拿大多伦多,49 ms,4123 kB/s
175.29.22.120,21021,true,ATL,北美洲,亚特兰大,49 ms,4072 kB/s
175.29.22.35,31021,true,ATL,北美洲,亚特兰大,47 ms,4048 kB/s
175.29.22.111,31038,true,NRT,亚太,日本东京,47 ms,3872 kB/s
175.29.22.70,21025,true,LHR,欧洲,英国伦敦,46 ms,3500 kB/s
175.29.22.133,31026,true,BOM,亚太,印度孟买,48 ms,3018 kB/s
175.29.22.66,31021,true,ATL,北美洲,亚特兰大,47 ms,2843 kB/s
175.29.22.127,31021,true,ATL,北美洲,亚特兰大,49 ms,2736 kB/s
175.29.22.133,21026,true,BOM,亚太,印度孟买,48 ms,2689 kB/s
175.29.22.86,21025,true,LHR,欧洲,英国伦敦,49 ms,2552 kB/s
175.29.22.101,31021,true,ATL,北美洲,亚特兰大,48 ms,2334 kB/s
175.29.22.17,31038,true,KIX,亚太,大阪,48 ms,2285 kB/s
175.29.22.70,21021,true,ATL,北美洲,亚特兰大,49 ms,1907 kB/s
175.29.22.134,31025,true,LHR,欧洲,英国伦敦,46 ms,1704 kB/s
175.29.22.86,31026,true,BOM,亚太,印度孟买,47 ms,1693 kB/s
175.29.22.111,21025,true,LHR,欧洲,英国伦敦,47 ms,953 kB/s
175.29.22.4,31029,true,HKG,亚太,香港,47 ms,543 kB/s
175.29.22.4,31031,true,HKG,亚太,香港,46 ms,540 kB/s
175.29.22.44,31039,true,HKG,亚太,香港,46 ms,539 kB/s
175.29.22.8,21030,true,HKG,亚太,香港,43 ms,538 kB/s
175.29.22.51,21030,true,HKG,亚太,香港,48 ms,538 kB/s
175.29.22.4,31033,true,SIN,亚太,新加坡,48 ms,529 kB/s
175.29.22.30,31033,true,SIN,亚太,新加坡,48 ms,529 kB/s
175.29.22.44,31032,true,SIN,亚太,新加坡,47 ms,528 kB/s
175.29.22.8,31033,true,SIN,亚太,新加坡,48 ms,526 kB/s
175.29.22.8,21032,true,SIN,亚太,新加坡,48 ms,526 kB/s
175.29.22.8,21033,true,SIN,亚太,新加坡,47 ms,525 kB/s
175.29.22.106,21030,true,HKG,亚太,香港,52 ms,525 kB/s
175.29.22.8,31029,true,HKG,亚太,香港,46 ms,524 kB/s
175.29.22.8,31032,true,SIN,亚太,新加坡,47 ms,522 kB/s
175.29.22.30,31030,true,HKG,亚太,香港,46 ms,518 kB/s
175.29.22.44,21027,true,NRT,亚太,日本东京,48 ms,517 kB/s
175.29.22.110,21030,true,HKG,亚太,香港,77 ms,513 kB/s
175.29.22.81,31031,true,HKG,亚太,香港,56 ms,512 kB/s
175.29.22.44,31027,true,NRT,亚太,日本东京,48 ms,511 kB/s
175.29.22.81,31030,true,HKG,亚太,香港,73 ms,510 kB/s
175.29.22.45,21039,true,HKG,亚太,香港,46 ms,506 kB/s
175.29.22.81,31039,true,HKG,亚太,香港,62 ms,504 kB/s
175.29.22.117,21030,true,HKG,亚太,香港,59 ms,504 kB/s
175.29.22.4,31032,true,SIN,亚太,新加坡,48 ms,504 kB/s
175.29.22.45,31031,true,HKG,亚太,香港,56 ms,503 kB/s
175.29.22.8,21036,true,TPE,亚太,台北,49 ms,500 kB/s
175.29.22.4,31034,true,TPE,亚太,台北,47 ms,500 kB/s
175.29.22.30,31036,true,TPE,亚太,台北,46 ms,500 kB/s
175.29.22.25,31036,true,TPE,亚太,台北,62 ms,499 kB/s
175.29.22.8,31036,true,TPE,亚太,台北,46 ms,499 kB/s
175.29.22.30,21036,true,TPE,亚太,台北,48 ms,497 kB/s
175.29.22.44,31036,true,TPE,亚太,台北,45 ms,497 kB/s
175.29.22.51,21034,true,TPE,亚太,台北,47 ms,497 kB/s
175.29.22.44,31033,true,SIN,亚太,新加坡,46 ms,495 kB/s
175.29.22.30,31034,true,TPE,亚太,台北,44 ms,494 kB/s
175.29.22.138,31035,true,HKG,亚太,香港,49 ms,490 kB/s
175.29.22.129,21027,true,NRT,亚太,日本东京,52 ms,489 kB/s
175.29.22.36,31029,true,HKG,亚太,香港,56 ms,487 kB/s
175.29.22.64,21032,true,SIN,亚太,新加坡,77 ms,487 kB/s
175.29.22.71,21034,true,HKG,亚太,香港,51 ms,486 kB/s
175.29.22.4,31038,true,NRT,亚太,日本东京,48 ms,485 kB/s
175.29.22.125,21032,true,SIN,亚太,新加坡,60 ms,485 kB/s
175.29.22.129,21032,true,SIN,亚太,新加坡,52 ms,484 kB/s
175.29.22.71,31039,true,HKG,亚太,香港,55 ms,483 kB/s
175.29.22.25,31039,true,HKG,亚太,香港,63 ms,479 kB/s
175.29.22.138,31030,true,HKG,亚太,香港,65 ms,478 kB/s
175.29.22.48,21039,true,HKG,亚太,香港,63 ms,477 kB/s
175.29.22.138,21030,true,HKG,亚太,香港,64 ms,477 kB/s
175.29.22.94,21033,true,SIN,亚太,新加坡,64 ms,474 kB/s
175.29.22.44,21026,true,BOM,亚太,印度孟买,46 ms,470 kB/s
175.29.22.125,31036,true,TPE,亚太,台北,65 ms,469 kB/s
175.29.22.81,31033,true,SIN,亚太,新加坡,64 ms,468 kB/s
175.29.22.100,31038,true,NRT,亚太,日本东京,65 ms,464 kB/s
175.29.22.106,31038,true,NRT,亚太,日本东京,58 ms,463 kB/s
175.29.22.87,21034,true,TPE,亚太,台北,83 ms,461 kB/s
175.29.22.36,21035,true,HKG,亚太,香港,61 ms,461 kB/s
175.29.22.110,31020,true,LAX,北美洲,美国洛杉矶,59 ms,460 kB/s
175.29.22.4,21022,true,LAX,北美洲,美国洛杉矶,48 ms,459 kB/s
175.29.22.94,21034,true,HKG,亚太,香港,60 ms,458 kB/s
175.29.22.8,21020,true,LAX,北美洲,美国洛杉矶,47 ms,458 kB/s
175.29.22.129,21039,true,HKG,亚太,香港,64 ms,456 kB/s
175.29.22.33,21039,true,HKG,亚太,香港,57 ms,455 kB/s
175.29.22.87,21038,true,KIX,亚太,大阪,48 ms,454 kB/s
175.29.22.8,31022,true,LAX,北美洲,美国洛杉矶,48 ms,453 kB/s
175.29.22.30,31022,true,LAX,北美洲,美国洛杉矶,47 ms,452 kB/s
175.29.22.110,31036,true,TPE,亚太,台北,56 ms,449 kB/s
175.29.22.94,31038,true,KIX,亚太,大阪,61 ms,442 kB/s
175.29.22.44,21025,true,LHR,欧洲,英国伦敦,46 ms,442 kB/s
175.29.22.4,31025,true,LHR,欧洲,英国伦敦,45 ms,438 kB/s
175.29.22.25,31038,true,KIX,亚太,大阪,51 ms,435 kB/s
175.29.22.44,31025,true,LHR,欧洲,英国伦敦,48 ms,435 kB/s
175.29.22.81,31029,true,HKG,亚太,香港,63 ms,428 kB/s
175.29.22.138,31034,true,HKG,亚太,香港,57 ms,427 kB/s
175.29.22.117,21039,true,HKG,亚太,香港,48 ms,426 kB/s
175.29.22.44,21024,true,BUF,北美洲,美国布法罗,48 ms,425 kB/s
175.29.22.44,31021,true,ATL,北美洲,亚特兰大,47 ms,422 kB/s
175.29.22.8,21021,true,ATL,北美洲,亚特兰大,47 ms,420 kB/s
175.29.22.33,21031,true,HKG,亚太,香港,56 ms,419 kB/s
175.29.22.110,31034,true,HKG,亚太,香港,53 ms,418 kB/s
175.29.22.30,21021,true,ATL,北美洲,亚特兰大,46 ms,417 kB/s
175.29.22.110,21035,true,HKG,亚太,香港,56 ms,416 kB/s
175.29.22.48,31031,true,HKG,亚太,香港,64 ms,415 kB/s
175.29.22.44,21021,true,ATL,北美洲,亚特兰大,46 ms,414 kB/s
175.29.22.51,21021,true,ATL,北美洲,亚特兰大,47 ms,413 kB/s
175.29.22.25,21027,true,NRT,亚太,日本东京,78 ms,411 kB/s
175.29.22.75,31026,true,BOM,亚太,印度孟买,48 ms,409 kB/s
175.29.22.33,31029,true,HKG,亚太,香港,89 ms,404 kB/s
175.29.22.87,31021,true,ATL,北美洲,亚特兰大,49 ms,403 kB/s
175.29.22.25,31021,true,ATL,北美洲,亚特兰大,58 ms,403 kB/s
175.29.22.117,31034,true,HKG,亚太,香港,51 ms,403 kB/s
175.29.22.44,31021,true,ATL,北美洲,亚特兰大,48 ms,401 kB/s
175.29.22.106,21031,true,HKG,亚太,香港,54 ms,400 kB/s
175.29.22.30,31023,true,BUF,北美洲,美国布法罗,47 ms,399 kB/s
175.29.22.71,31034,true,HKG,亚太,香港,75 ms,390 kB/s
175.29.22.87,31026,true,BOM,亚太,印度孟买,77 ms,388 kB/s
175.29.22.75,31024,true,YYZ,北美洲,加拿大多伦多,60 ms,388 kB/s
175.29.22.75,21036,true,TPE,亚太,台北,64 ms,387 kB/s
175.29.22.75,31033,true,SIN,亚太,新加坡,52 ms,386 kB/s
175.29.22.100,31031,true,HKG,亚太,香港,69 ms,383 kB/s
175.29.22.125,21020,true,LAX,北美洲,美国洛杉矶,66 ms,379 kB/s
175.29.22.45,31032,true,SIN,亚太,新加坡,63 ms,379 kB/s
175.29.22.138,31036,true,TPE,亚太,台北,59 ms,378 kB/s
175.29.22.125,31025,true,LHR,欧洲,英国伦敦,51 ms,376 kB/s
175.29.22.48,31027,true,NRT,亚太,日本东京,52 ms,372 kB/s
175.29.22.52,31036,true,TPE,亚太,台北,52 ms,371 kB/s
175.29.22.110,21033,true,SIN,亚太,新加坡,60 ms,370 kB/s
175.29.22.100,31036,true,TPE,亚太,台北,54 ms,370 kB/s
175.29.22.100,21036,true,TPE,亚太,台北,48 ms,370 kB/s
175.29.22.64,31029,true,HKG,亚太,香港,60 ms,363 kB/s
175.29.22.33,21030,true,HKG,亚太,香港,50 ms,358 kB/s
175.29.22.110,21027,true,NRT,亚太,日本东京,60 ms,354 kB/s
175.29.22.94,31032,true,SIN,亚太,新加坡,64 ms,326 kB/s
175.29.22.94,31031,true,HKG,亚太,香港,61 ms,325 kB/s
175.29.22.117,21032,true,SIN,亚太,新加坡,73 ms,323 kB/s
175.29.22.48,31026,true,BOM,亚太,印度孟买,60 ms,321 kB/s
175.29.22.45,31022,true,LAX,北美洲,美国洛杉矶,61 ms,321 kB/s
175.29.22.110,21034,true,HKG,亚太,香港,67 ms,306 kB/s
175.29.22.129,31029,true,HKG,亚太,香港,60 ms,306 kB/s
175.29.22.64,31039,true,HKG,亚太,香港,50 ms,305 kB/s
175.29.22.52,21033,true,SIN,亚太,新加坡,63 ms,291 kB/s
175.29.22.81,21026,true,BOM,亚太,印度孟买,80 ms,289 kB/s
175.29.22.125,31026,true,BOM,亚太,印度孟买,87 ms,272 kB/s
175.29.22.75,31035,true,HKG,亚太,香港,49 ms,272 kB/s
175.29.22.48,21025,true,LHR,欧洲,英国伦敦,60 ms,270 kB/s
175.29.22.110,21031,true,HKG,亚太,香港,65 ms,259 kB/s
175.29.22.94,21031,true,HKG,亚太,香港,67 ms,257 kB/s
175.29.22.71,31030,true,HKG,亚太,香港,71 ms,252 kB/s
175.29.22.100,31035,true,HKG,亚太,香港,69 ms,244 kB/s
175.29.22.71,31029,true,HKG,亚太,香港,82 ms,238 kB/s
175.29.22.64,31039,true,HKG,亚太,香港,51 ms,235 kB/s
175.29.22.45,31026,true,BOM,亚太,印度孟买,48 ms,232 kB/s
175.29.22.129,31027,true,NRT,亚太,日本东京,56 ms,232 kB/s
175.29.22.25,21026,true,BOM,亚太,印度孟买,62 ms,225 kB/s
175.29.22.60,31027,true,NRT,亚太,日本东京,47 ms,222 kB/s
175.29.22.100,21024,true,YYZ,北美洲,加拿大多伦多,47 ms,215 kB/s
175.29.22.64,31022,true,LAX,北美洲,美国洛杉矶,61 ms,207 kB/s
175.29.22.36,31036,true,TPE,亚太,台北,64 ms,203 kB/s
175.29.22.36,31025,true,LHR,欧洲,英国伦敦,72 ms,193 kB/s
175.29.22.81,21021,true,ATL,北美洲,亚特兰大,58 ms,177 kB/s
175.29.22.125,21029,true,HKG,亚太,香港,53 ms,170 kB/s
175.29.22.33,31021,true,ATL,北美洲,亚特兰大,65 ms,169 kB/s
175.29.22.75,21032,true,SIN,亚太,新加坡,63 ms,155 kB/s
175.29.22.81,31038,true,NRT,亚太,日本东京,61 ms,131 kB/s
175.29.22.47,31038,true,KIX,亚太,大阪,46 ms,120 kB/s
175.29.22.48,21027,true,NRT,亚太,日本东京,47 ms,115 kB/s
175.29.22.110,21025,true,LHR,欧洲,英国伦敦,47 ms,114 kB/s
175.29.22.33,31022,true,LAX,北美洲,美国洛杉矶,62 ms,102 kB/s
175.29.22.48,31033,true,SIN,亚太,新加坡,54 ms,101 kB/s
175.29.22.110,21038,true,NRT,亚太,日本东京,60 ms,100 kB/s
175.29.22.94,21021,true,ATL,北美洲,亚特兰大,64 ms,97 kB/s
175.29.22.71,21030,true,HKG,亚太,香港,60 ms,94 kB/s
175.29.22.100,31029,true,HKG,亚太,香港,51 ms,92 kB/s
175.29.22.117,21033,true,SIN,亚太,新加坡,60 ms,92 kB/s
175.29.22.52,21027,true,NRT,亚太,日本东京,88 ms,92 kB/s
175.29.22.138,21029,true,HKG,亚太,香港,53 ms,92 kB/s
175.29.22.100,31029,true,HKG,亚太,香港,50 ms,92 kB/s
175.29.22.36,21030,true,HKG,亚太,香港,61 ms,91 kB/s
175.29.22.41,31039,true,HKG,亚太,香港,61 ms,91 kB/s
175.29.22.100,31025,true,LHR,欧洲,英国伦敦,61 ms,91 kB/s
175.29.22.110,31035,true,HKG,亚太,香港,49 ms,90 kB/s
175.29.22.117,21035,true,HKG,亚太,香港,65 ms,89 kB/s
175.29.22.25,21030,true,HKG,亚太,香港,60 ms,89 kB/s
175.29.22.117,31029,true,HKG,亚太,香港,72 ms,88 kB/s
175.29.22.36,31022,true,LAX,北美洲,美国洛杉矶,70 ms,88 kB/s
175.29.22.106,21033,true,SIN,亚太,新加坡,63 ms,88 kB/s
175.29.22.110,31039,true,HKG,亚太,香港,79 ms,88 kB/s
175.29.22.138,31039,true,HKG,亚太,香港,69 ms,88 kB/s
175.29.22.64,31030,true,HKG,亚太,香港,56 ms,88 kB/s
175.29.22.106,31027,true,NRT,亚太,日本东京,76 ms,87 kB/s
175.29.22.94,21035,true,HKG,亚太,香港,50 ms,85 kB/s
175.29.22.110,21022,true,LAX,北美洲,美国洛杉矶,88 ms,85 kB/s
175.29.22.25,21031,true,HKG,亚太,香港,56 ms,85 kB/s
175.29.22.94,31026,true,BOM,亚太,印度孟买,50 ms,84 kB/s
175.29.22.71,31038,true,KIX,亚太,大阪,54 ms,83 kB/s
175.29.22.138,21034,true,HKG,亚太,香港,61 ms,83 kB/s
175.29.22.45,31020,true,LAX,北美洲,美国洛杉矶,53 ms,81 kB/s
175.29.22.117,31036,true,TPE,亚太,台北,57 ms,81 kB/s
175.29.22.106,31025,true,LHR,欧洲,英国伦敦,51 ms,81 kB/s
175.29.22.64,31026,true,BOM,亚太,印度孟买,51 ms,81 kB/s
175.29.22.110,31022,true,LAX,北美洲,美国洛杉矶,60 ms,80 kB/s
175.29.22.94,31020,true,LAX,北美洲,美国洛杉矶,52 ms,79 kB/s
175.29.22.81,21032,true,SIN,亚太,新加坡,61 ms,79 kB/s
175.29.22.25,21020,true,LAX,北美洲,美国洛杉矶,58 ms,78 kB/s
175.29.22.48,21020,true,LAX,北美洲,美国洛杉矶,49 ms,78 kB/s
175.29.22.106,21026,true,BOM,亚太,印度孟买,74 ms,78 kB/s
175.29.22.45,21020,true,LAX,北美洲,美国洛杉矶,65 ms,77 kB/s
175.29.22.75,31032,true,SIN,亚太,新加坡,49 ms,76 kB/s
175.29.22.129,21026,true,BOM,亚太,印度孟买,66 ms,76 kB/s
175.29.22.129,31034,true,HKG,亚太,香港,51 ms,75 kB/s
175.29.22.100,31022,true,LAX,北美洲,美国洛杉矶,63 ms,73 kB/s
175.29.22.110,21036,true,TPE,亚太,台北,63 ms,73 kB/s
175.29.22.138,21036,true,TPE,亚太,台北,61 ms,72 kB/s
175.29.22.45,31021,true,ATL,北美洲,亚特兰大,50 ms,71 kB/s
175.29.22.33,31027,true,NRT,亚太,日本东京,63 ms,69 kB/s
175.29.22.125,31022,true,LAX,北美洲,美国洛杉矶,66 ms,69 kB/s
175.29.22.41,21038,true,KIX,亚太,大阪,54 ms,69 kB/s
175.29.22.75,21020,true,LAX,北美洲,美国洛杉矶,58 ms,67 kB/s
175.29.22.94,31022,true,LAX,北美洲,美国洛杉矶,61 ms,65 kB/s
175.29.22.25,31032,true,SIN,亚太,新加坡,62 ms,63 kB/s
175.29.22.81,21020,true,LAX,北美洲,美国洛杉矶,57 ms,63 kB/s
175.29.22.41,21033,true,SIN,亚太,新加坡,63 ms,61 kB/s
175.29.22.75,31022,true,LAX,北美洲,美国洛杉矶,57 ms,60 kB/s
175.29.22.33,21036,true,TPE,亚太,台北,64 ms,59 kB/s
175.29.22.45,21026,true,BOM,亚太,印度孟买,61 ms,59 kB/s
175.29.22.52,21038,true,NRT,亚太,日本东京,50 ms,53 kB/s
175.29.22.41,31038,true,NRT,亚太,日本东京,56 ms,49 kB/s
175.29.22.100,31029,true,HKG,亚太,香港,61 ms,43 kB/s
175.29.22.138,31031,true,HKG,亚太,香港,51 ms,38 kB/s
175.29.22.94,21020,true,LAX,北美洲,美国洛杉矶,73 ms,26 kB/s
175.29.22.45,31029,true,HKG,亚太,香港,57 ms,4 kB/s
175.29.22.133,21029,true,HKG,亚太,香港,46 ms,4 kB/s
175.29.22.39,31029,true,HKG,亚太,香港,58 ms,4 kB/s
175.29.22.106,21027,true,NRT,亚太,日本东京,60 ms,4 kB/s
175.29.22.90,21033,true,SIN,亚太,新加坡,47 ms,4 kB/s
175.29.22.44,31030,true,HKG,亚太,香港,47 ms,4 kB/s
175.29.22.129,31030,true,HKG,亚太,香港,52 ms,4 kB/s
175.29.22.72,21033,true,SIN,亚太,新加坡,50 ms,3 kB/s
175.29.22.4,31022,true,LAX,北美洲,美国洛杉矶,49 ms,3 kB/s
175.29.22.114,31039,true,HKG,亚太,香港,46 ms,3 kB/s
175.29.22.44,31031,true,HKG,亚太,香港,48 ms,3 kB/s
175.29.22.158,31034,true,TPE,亚太,台北,46 ms,3 kB/s
175.29.22.52,31032,true,SIN,亚太,新加坡,65 ms,3 kB/s
175.29.22.45,31035,true,HKG,亚太,香港,68 ms,3 kB/s
175.29.22.36,21025,true,LHR,欧洲,英国伦敦,59 ms,3 kB/s
175.29.22.88,21020,true,LAX,北美洲,美国洛杉矶,46 ms,3 kB/s
175.29.22.134,31026,true,BOM,亚太,印度孟买,49 ms,3 kB/s
175.29.22.77,31022,true,LAX,北美洲,美国洛杉矶,47 ms,3 kB/s
175.29.22.60,21036,true,TPE,亚太,台北,59 ms,3 kB/s
175.29.22.63,31020,true,LAX,北美洲,美国洛杉矶,47 ms,3 kB/s
175.29.22.101,21021,true,ATL,北美洲,亚特兰大,45 ms,3 kB/s
175.29.22.82,21021,true,ATL,北美洲,亚特兰大,46 ms,3 kB/s
175.29.22.111,21029,true,HKG,亚太,香港,48 ms,0 kB/s
175.29.22.87,31020,true,LAX,北美洲,美国洛杉矶,59 ms,0 kB/s
175.29.22.57,31038,true,KIX,亚太,大阪,47 ms,0 kB/s
175.29.22.127,21020,true,LAX,北美洲,美国洛杉矶,47 ms,0 kB/s
175.29.22.98,31036,true,TPE,亚太,台北,47 ms,0 kB/s
175.29.22.80,31028,true,NRT,亚太,日本东京,50 ms,0 kB/s
175.29.22.33,31030,true,HKG,亚太,香港,60 ms,0 kB/s
175.29.22.120,21027,true,NRT,亚太,日本东京,46 ms,0 kB/s
175.29.22.80,21028,true,NRT,亚太,日本东京,50 ms,0 kB/s
